,,,Sr #,Compliance name,Country,Sr #,Cyber,Risk Category,Risk level,Service,Rule Name#,CyberQ Rule ID,Rule from Scanner,Match,Implemented in AWAF Folder,Added in Rule Set ,Version,Rational,AWS Ref Link,Remediation Link,Compliance Appliable,CIS Control ID,CIS Control Dis,NIST Control ID,NIST  Control Dis,ISO Control ID,ISO Control Dis,CCM v3 Control ID,CCM v3 Control Dis,AWAF Control ID,AWAF Control Dis,PCI DSS v3.2.1
Control id,PCI DSS v3.2.1
Control dis,GDPR Control ID,GDPR Control dis,,Jira Refernce ,Remediation 
,CQ-AWS-EC2-023,,,,,#REF!,CQ-AWS-CWT-008,Network,MEDIUM,Cloudwatch,Ensure a log metric filter and alarm exist for changes to network gateways,CQ-AWS-CWT-008,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-041,,,,,#REF!,CQ-AWS-CWT-009,User,HIGH,Cloudwatch,Ensure Root Account Usage is being monitored using CloudWatch alarms.,CQ-AWS-CWT-009,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-011,,,,,#REF!,CQ-AWS-CWT-010,Network,MEDIUM,Cloudwatch,Ensure AWS Route Tables configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-010,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-037,,,,,#REF!,CQ-AWS-CWT-011,Data,MEDIUM,Cloudwatch,Ensure AWS S3 Buckets configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-011,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-056,,,,,#REF!,CQ-AWS-CWT-012,Network,MEDIUM,Cloudwatch,Ensure AWS security groups configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-012,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-031,,,,,#REF!,CQ-AWS-CWT-013,User,MEDIUM,Cloudwatch,Ensure a log metric filter and alarm exist for Management Console sign-in without MFA,CQ-AWS-CWT-013,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-021,,,,,#REF!,CQ-AWS-CWT-014,Data,MEDIUM,Cloudwatch,Ensure any unauthorized API calls made within your AWS account are being monitored using CloudWatch alarms.,CQ-AWS-CWT-014,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-032,,,,,#REF!,CQ-AWS-CWT-015,Network,MEDIUM,Cloudwatch,Ensure AWS VPCs configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-015,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-014,,,,,#REF!,CQ-AWS-CWT-016,Data,MEDIUM,Cloudwatch,Ensure CloudWatch Events is in use to help you respond to operational changes within your AWS resources.,CQ-AWS-CWT-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-015,,,,,#REF!,CQ-AWS-CWT-017,Data,HIGH,Cloudwatch,Ensure that your AWS CloudWatch event bus is not exposed to everyone.,CQ-AWS-CWT-017,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-A,,,,,#REF!,CQ-AWS-CWT-018,User, Data,HIGH,Cloudwatch,Ensure that AWS CloudWatch event buses do not allow unknown cross-account access for delivery of events.,CQ-AWS-CWT-018,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-B,,,,,#REF!,CQ-AWS-CWT-021,User,MEDIUM,Cloudwatch,Ensure Amazon Organizations changes are being monitored using AWS CloudWatch alarms.,CQ-AWS-CWT-021,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-C,,,,,#REF!,CQ-AWS-CWT-022,Data,MEDIUM,Cloudwatch,Ensure AWS CMK configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-022,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-E,,,,,#REF!,CQ-AWS-CWT-024,Network,HIGH,Cloudwatch,Ensure that a CloudWatch alarm is created for the VPC Flow Logs metric filter and an alarm action is configured.,CQ-AWS-CWT-024,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-D,,,,,#REF!,CQ-AWS-CWT-025,Data,MEDIUM,Cloudwatch,Ensure AWS EC2 instance changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-025,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-F,,,,,#REF!,CQ-AWS-CWT-026,Data,MEDIUM,Cloudwatch,Ensure AWS EC2 large instance changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-026,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-G,,,,,#REF!,CQ-AWS-CWT-027,Network,MEDIUM,Cloudwatch,Ensure AWS VPC Customer/Internet Gateway configuration changes are being monitored using CloudWatch alarms.,CQ-AWS-CWT-027,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-H,,,,,#REF!,CQ-AWS-CWT-028,Network,HIGH,Cloudwatch,Ensure that a log metric filter for the CloudWatch group assigned to the VPC Flow Logs is created.,CQ-AWS-CWT-028,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-I,,,,,#REF!,CQ-AWS-CWT-029,Data,NA,Cloudwatch,Ensure your AWS costs are being monitored using a CloudWatch billing alarm.,CQ-AWS-CWT-029,#REF!,#REF!,Cost,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-J,,,,,#REF!,CQ-AWS-CWT-031,Network,LOW,Cloudwatch,Ensure a log metric filter and alarm exist for Rejected SSH connections in VPC ,CQ-AWS-CWT-031,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-K,,,,,#REF!,CQ-AWS-CWT-032,User,MEDIUM,Cloudwatch,Ensure a log metric filter and alarm exist for IAM MFA Changes,CQ-AWS-CWT-032,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-L,,,,,#REF!,CQ-AWS-CWT-033,Data,MEDIUM,Cloudwatch,Ensure a log metric filter and alarm exist for S3 Bucket Creation/Deletion,CQ-AWS-CWT-033,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-M,,,,,#REF!,CQ-AWS-CWT-034,Data,MEDIUM,Cloudwatch,Ensure Cloudwatch Log Group is created for Web Tier,CQ-AWS-CWT-034,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-N,,,,,#REF!,CQ-AWS-CWT-035,Data,MEDIUM,Cloudwatch,Ensure Cloudwatch Log Group is created for App Tier,CQ-AWS-CWT-035,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-R,,,,,#REF!,CQ-AWS-CWT-036,Data,MEDIUM,Cloudwatch,Ensure Cloudwatch Log Group for Web Tier has a retention period,CQ-AWS-CWT-036,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-O,,,,,#REF!,CQ-AWS-CWT-037,Data,MEDIUM,Cloudwatch,Ensure Cloudwatch Log Group for App Tier has a retention period,CQ-AWS-CWT-037,#REF!,#REF!,TT,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-P,,,,,#REF!,CQ-AWS-DOC-001,Data,HIGH,DocumentDB,Ensure that Amazon DocumentDB clusters are encrypted with KMS Customer Master Keys (CMKs).,CQ-AWS-DOC-001,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-016-S,,,,,#REF!,CQ-AWS-DOC-002,Data,MEDIUM,DocumentDB,Ensure that Amazon DocumentDB clusters data is encrypted at rest.,CQ-AWS-DOC-002,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-017-A,,,,,#REF!,CQ-AWS-DOC-003,Data,LOW,DocumentDB,Ensure AWS DocumentDB clusters have a sufficient backup retention period set for compliance purposes.,CQ-AWS-DOC-003,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-017-B,,,,,#REF!,CQ-AWS-DOC-004,Data,LOW,DocumentDB,Ensure Log Exports feature is enabled for your Amazon DocumentDB clusters.,CQ-AWS-DOC-004,#REF!,#REF!,N,P2,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-018,,,,,#REF!,CQ-AWS-DYD-001,Data,HIGH,DynomoDB,Ensure DynamoDB Cluster Accelerator DAX clusters have encryption enabled.,CQ-AWS-DYD-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-019-A,,,,,#REF!,CQ-AWS-DYD-002,Data,HIGH,DynomoDB,Ensure DynamoDB auto scaling is enabled,CQ-AWS-DYD-002,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-019-B,,,,,#REF!,CQ-AWS-DYD-003,Data,HIGH,DynomoDB,Ensure that Amazon DynamoDB data is encrypted using AWS-managed Customer Master Keys.,CQ-AWS-DYD-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-053,,,,,#REF!,CQ-AWS-DYD-004,Data,MEDIUM,DynomoDB,Ensure Amazon DynamoDB tables have continuous backups enabled.,CQ-AWS-DYD-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-035,,,,,#REF!,CQ-AWS-DYD-005,Data,MEDIUM,DynomoDB,Identify and remove any unused AWS DynamoDB tables to optimize AWS costs.,CQ-AWS-DYD-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-025,,,,,#REF!,CQ-AWS-DYD-006,Data,MEDIUM,DynomoDB,Ensure that encryption is enabled for your Amazon DynamoDB tables,CQ-AWS-DYD-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-043,,,,,#REF!,CQ-AWS-EC2-001,Data,MEDIUM,EC2,Ensure all customer owned Amazon Machine Images (AMI) are not shared publicly.,CQ-AWS-EC2-001,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-040,,,,,#REF!,CQ-AWS-EC2-002,Network,MEDIUM,EC2,Ensure default EC2 security groups are not in use in order to follow AWS security best practices.,CQ-AWS-EC2-002,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EC2-048,,,,,#REF!,CQ-AWS-EC2-003,Network,LOW,EC2,Ensure default security groups restrict all public traffic to follow AWS security best practices.,CQ-AWS-EC2-003,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECR-002,,,,,#REF!,CQ-AWS-EC2-004,Data,MEDIUM,EC2,Ensure Amazon EBS snapshots are encrypted to meet security and compliance requirements.,CQ-AWS-EC2-004,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECR-001,,,,,#REF!,CQ-AWS-EC2-005,Data,HIGH,EC2,Ensure EBS Snapshot not accessible public.,CQ-AWS-EC2-005,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECS-004,,,,,#REF!,CQ-AWS-EC2-006,Data,HIGH,EC2,Ensure all AWS EBS volumes are encrypted.,CQ-AWS-EC2-006,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECS-003,,,,,#REF!,CQ-AWS-EC2-007,Data,LOW,EC2,Ensure AWS AMIs are using proper naming conventions.,CQ-AWS-EC2-007,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECS-002,,,,,#REF!,CQ-AWS-EC2-008,Data,HIGH,EC2,Ensure that your existing AMIs are encrypted.,CQ-AWS-EC2-008,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ECS-001,,,,,#REF!,CQ-AWS-EC2-009,User,MEDIUM,EC2,Ensure an IAM Role for Amazon EC2 is created.,CQ-AWS-EC2-009,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EFS-001,,,,,#REF!,CQ-AWS-EC2-011,User,MEDIUM,EC2,Ensure there is no Potential Secret in Instance User Data,CQ-AWS-EC2-011,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EFS-002,,,,,#REF!,CQ-AWS-EC2-012,Data,MEDIUM,EC2,Ensure all AWS EC2 instances are launched from approved AMIs.,CQ-AWS-EC2-012,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-007,,,,,#REF!,CQ-AWS-EC2-013,Data,MEDIUM,EC2,Ensure there are no AWS EC2 instances launched from blacklisted AMIs.,CQ-AWS-EC2-013,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-004,,,,,#REF!,CQ-AWS-EC2-014,Network,HIGH,EC2,Ensure Security Group  does not Opens All Ports ,CQ-AWS-EC2-014,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-002,,,,,#REF!,CQ-AWS-EC2-015,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access using Internet Control Message Protocol (ICMP).,CQ-AWS-EC2-015,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-005,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 445 and (CIFS).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-006,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP and UDP port 53 (DNS).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELC-008,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 9200 (Elasticsearch).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-BS-001,,,,,#REF!,CQ-AWS-EC2-017,Network,MEDIUM,EC2,Ensure no EC2 security group allows unrestricted inbound access to TCP ports 20 and 21 (FTP).,CQ-AWS-EC2-017,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-BS-002,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 80 (HTTP).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-BS-003,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 443 (HTTPS).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-005,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no EC2 security group allows unrestricted inbound access to any uncommon ports.,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-006,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted ingress access to MongoDB port 27017,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-004,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 1433 (MSSQL).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-007,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 3306 (MySQL).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-009,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 139 and UDP ports 137 and 138 (NetBIOS),CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-014,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 1521 (Oracle Database).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-001,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 5432 (PostgreSQL Database).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-010,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 3389 (RDP).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-002,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no security group allows unrestricted inbound access to TCP port 135 (RPC).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-003,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 25 (SMTP).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-015,,,,,#REF!,CQ-AWS-EC2-016,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 22 (SSH).,CQ-AWS-EC2-016,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELB-011,,,,,#REF!,CQ-AWS-EC2-017,Network,MEDIUM,EC2,Ensure no AWS EC2 security group allows unrestricted inbound access to TCP port 23 (Telnet).,CQ-AWS-EC2-017,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-004,,,,,#REF!,CQ-AWS-EC2-018,Network,MEDIUM,EC2,Security Group Uses Port Range,CQ-AWS-EC2-018,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-001,,,,,#REF!,CQ-AWS-EC2-019,Network,HIGH,EC2,Security Group Opens Unknown TCP Port to All,CQ-AWS-EC2-019,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-005,,,,,#REF!,CQ-AWS-EC2-019,Network,HIGH,EC2,Security Group Opens Unknown UDP Port to All,CQ-AWS-EC2-019,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-008,,,,,#REF!,CQ-AWS-EC2-020,Network,HIGH,EC2,Ensure no backend EC2 instances are running in public subnets.,CQ-AWS-EC2-020,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-007,,,,,#REF!,CQ-AWS-EC2-021,Network,LOW,EC2,Ensure that the security group(s) associated with an EC2 instance does not have an excessive number of rules defined.,CQ-AWS-EC2-021,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-ELBV2-002,,,,,#REF!,CQ-AWS-EC2-022,Data,MEDIUM,EC2,Ensure Termination Protection feature is enabled for EC2 instances that are not part of ASGs.,CQ-AWS-EC2-022,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-005,,,,,#REF!,CQ-AWS-EC2-023,Data,LOW,EC2,Check for running AWS EC2 instances older than 180 days available within your AWS account.,CQ-AWS-EC2-023,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-002,,,,,#REF!,CQ-AWS-EC2-025,Network,HIGH,EC2,Ensure there is no Unused Security Group,CQ-AWS-EC2-025,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-003,,,,,#REF!,CQ-AWS-EC2-026,Network,MEDIUM,EC2,Ensure that your account does not reach the limit set by AWS for the number of allocated Elastic IPs.,CQ-AWS-EC2-026,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-004,,,,,#REF!,CQ-AWS-EC2-027,Network,MEDIUM,EC2,Ensure that your account does not reach the limit set by AWS for the number of Elastic IPs.,CQ-AWS-EC2-027,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-007,,,,,#REF!,CQ-AWS-EC2-028,Data,LOW,EC2,Ensure that Hibernation feature is enabled for EBS-backed EC2 instances to retain memory state across instance stop/start cycles.,CQ-AWS-EC2-028,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-EMR-001,,,,,#REF!,CQ-AWS-EC2-029,Data,HIGH,EC2,Identify idle AWS EC2 instances and stop or terminate them in order to optimize AWS costs.,CQ-AWS-EC2-029,#REF!,#REF!,Cost,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-002,,,,,#REF!,CQ-AWS-EC2-030,Network,MEDIUM,EC2,Ensure your AWS account does not have an excessive number of security groups per region,CQ-AWS-EC2-030,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-003,,,,,#REF!,CQ-AWS-EC2-031,Network,LOW,EC2,Ensure EC2 security groups prefixed with "launch-wizard" are not in use.,CQ-AWS-EC2-031,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-004,,,,,#REF!,CQ-AWS-EC2-032,Network,LOW,EC2,Ensure security groups are using proper naming conventions.,CQ-AWS-EC2-032,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-060,,,,,#REF!,CQ-AWS-EC2-033,Network,MEDIUM,EC2,Ensure no EC2 security group allows inbound traffic from RFC-1918 CIDRs.,CQ-AWS-EC2-033,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-068,,,,,#REF!,CQ-AWS-EC2-034,Network,LOW,EC2,Identify any unassociated Elastic IP (EIP) addresses for cost optimization.,CQ-AWS-EC2-034,#REF!,#REF!,Cost,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-047,,,,,#REF!,CQ-AWS-EC2-035,Network,MEDIUM,EC2,Ensure that your EC2 security groups do not allow unrestricted outbound/egress access.,CQ-AWS-EC2-035,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-006,,,,,#REF!,CQ-AWS-EC2-036,Data,LOW,EC2,Identify and remove any unused Amazon Machine Images (AMIs) to optimize AWS costs.,CQ-AWS-EC2-036,#REF!,#REF!,Cost,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-007,,,,,#REF!,CQ-AWS-EC2-037,Network,LOW,EC2,Ensure unused AWS Elastic Network Interfaces (ENIs) are removed to follow best practices.,CQ-AWS-EC2-037,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-012,,,,,#REF!,CQ-AWS-EC2-040,Data,HIGH,EC2,Ensure EBS volumes are encrypted with KMS CMKs in order to have full control over data encryption and decryption.,CQ-AWS-EC2-040,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-059,,,,,#REF!,CQ-AWS-EC2-041,Data,MEDIUM,EC2,Ensure EC2 instances are using General Purpose SSD (gp2) EBS volumes instead of Provisioned IOPS SSD (io1) volumes to optimize AWS EBS costs.,CQ-AWS-EC2-041,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-061,,,,,#REF!,CQ-AWS-EC2-042,Data,LOW,EC2,Ensure EBS volumes are using proper naming conventions to follow AWS tagging best practices.,CQ-AWS-EC2-042,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-019,,,,,#REF!,CQ-AWS-EC2-043,Data,HIGH,EC2,Identify Amazon EBS volumes attached to stopped EC2 instances (i.e. unused EBS volumes).,CQ-AWS-EC2-043,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-021,,,,,#REF!,CQ-AWS-EC2-044,Data,MEDIUM,EC2,Ensure AWS Elastic Block Store (EBS) volumes have recent snapshots available for point-in-time recovery.,CQ-AWS-EC2-044,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-022,,,,,#REF!,CQ-AWS-EC2-045,Data,LOW,EC2,Identify and remove old AWS Elastic Block Store (EBS) volume snapshots for cost optimization.,CQ-AWS-EC2-045,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-023,,,,,#REF!,CQ-AWS-EC2-048,Data,MEDIUM,EC2,Identify and remove any unattached Elastic Block Store volumes to improve cost optimization and security.,CQ-AWS-EC2-048,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-024,,,,,#REF!,CQ-AWS-EC2-049,Data,MEDIUM,EC2,Ensure that your EC2 instances do not reach the limit set by AWS for the number of vCPUs.,CQ-AWS-EC2-049,#REF!,#REF!,TBD,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-025,,,,,#REF!,CQ-AWS-EC2-050,Data,MEDIUM,EC2,Ensure your AWS account has not reached the limit set for the number of EC2 instances.,CQ-AWS-EC2-050,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-026,,,,,#REF!,CQ-AWS-EC2-051,Data,LOW,EC2,Ensure EC2 Instances are using proper naming conventions.,CQ-AWS-EC2-051,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-027,,,,,#REF!,CQ-AWS-EC2-052,Data,LOW,EC2,Ensure that your existing AWS Amazon Machine Images (AMIs) are not older than 180 days,CQ-AWS-EC2-052,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
,CQ-AWS-IAM-066,,,,,#REF!,CQ-AWS-EC2-053,Network,LOW,EC2,Ensure AWS EC2 security group rules have descriptive text for organization and documentation.,CQ-AWS-EC2-053,#REF!,#REF!,Y,P1,,,,,,,,,,,,,,,,,,,,,,
